"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lissandra","Middle",1,"1.3%","0.0%","3.9%","100%","0%",2,0,10,12,"66.7%","0.0%","0%",-319,-349,-9,8.8,"22.2%",343,"15.6%","18.8%",0.35,0.28
"Lissandra","Support",2,"2.6%","0.0%","3.9%","50%","100%",0,10,17,1.7,"65.4%","25.0%","0%",115,-142,-13,0.9,"3.5%",266,"9.1%","7.8%",1.93,0.79
"Lucian","ADC",1,"1.3%","0.0%","1.3%","0%","100%",2,4,2,1,"66.7%","18.2%","100%",76,126,-1,10,"35.1%",429,"20.3%","27.3%",0.31,0.47
"Lulu","Support",4,"5.3%","0.0%","5.3%","50%","75%",1,5,43,8.8,"86.3%","12.2%","25%",261,-203,-8.5,0.7,"2.2%",140,"6.8%","9.4%",1.74,0.46
"Lux","Support",4,"5.3%","0.0%","5.3%","50%","75%",9,12,32,3.4,"66.1%","21.4%","0%",138,-166,-2.5,1.1,"4.8%",382,"14.1%","12.0%",1.56,0.52
"Milio","Support",7,"9.2%","0.0%","9.2%","71%","86%",3,8,67,8.8,"85.4%","14.8%","29%",-135,-111,-13.6,0.7,"2.1%",80,"3.9%","9.6%",1.51,0.38
"Nidalee","Jungle",1,"1.3%","0.0%","1.3%","0%","100%",0,3,3,1,"100.0%","23.1%","0%",-9,-67,7,5.7,"13.8%",400,"28.6%","17.6%",0.35,0.59
"Nilah","ADC",2,"2.6%","0.0%","2.6%","50%","100%",13,3,13,8.7,"74.3%","11.5%","0%",144,832,3.5,9.7,"29.8%",439,"22.4%","27.1%",0.47,0.26
"Quinn","Top",1,"1.3%","0.0%","1.3%","0%","100%",0,5,1,0.2,"33.3%","26.3%","0%",221,34,14,8,"23.3%",492,"29.8%","21.8%",0.42,0.21
"Ryze","Top",1,"1.3%","0.0%","1.3%","100%","100%",4,1,9,13,"86.7%","11.1%","0%",130,-179,6,8.8,"22.7%",525,"30.0%","22.2%",0.52,0.2
"Sett","Support",1,"1.3%","0.0%","1.3%","0%","100%",0,5,1,0.2,"20.0%","22.7%","0%",-138,239,3,1.9,"5.1%",164,"10.2%","8.4%",1.51,0.53
"Soraka","Support",1,"1.3%","0.0%","1.3%","0%","100%",0,6,2,0.3,"40.0%","31.6%","0%",-650,268,-12,0.3,"1.3%",191,"10.9%","7.7%",0.97,0.28
"Thresh","Support",1,"1.3%","0.0%","1.3%","0%","0%",1,2,2,1.5,"37.5%","13.3%","100%",463,-264,-3,1.2,"2.7%",112,"6.2%","10.3%",1.37,0.49
"Vex","Middle",1,"1.3%","0.0%","1.3%","100%","100%",2,2,12,7,"73.7%","28.6%","100%",872,384,10,8.5,"20.4%",833,"26.8%","20.8%",0.24,0.37
"Volibear","Top",1,"1.3%","0.0%","1.3%","0%","100%",0,3,1,0.3,"16.7%","16.7%","0%",-744,-1158,-28,7.1,"25.7%",205,"15.3%","18.3%",0.37,0
"Zac","Jungle",1,"1.3%","0.0%","1.3%","0%","100%",1,4,3,1,"40.0%","20.0%","0%",30,-46,-6,4.3,"10.6%",291,"13.7%","13.7%",0.51,0.35
